data,metric,score,option_finetuning,option_BitsAndBytes,option_CoT,option_LoRA(r=32 a=64)
medqa_5_options,acc,0.0016,False,False,False,False
medqa_5_options,f1(macro),0.0024,False,False,False,False
medqa_4_options,acc,0.0008,False,False,False,False
medqa_4_options,f1(macro),0.0013,False,False,False,False
kormedmcqa_dentist,acc,0.0308,False,False,False,False
kormedmcqa_dentist,f1(macro),0.0427,False,False,False,False
kormedmcqa_doctor,acc,0.1241,False,False,False,False
kormedmcqa_doctor,f1(macro),0.0977,False,False,False,False
kormedmcqa_nurse,acc,0.0364,False,False,False,False
kormedmcqa_nurse,f1(macro),0.0468,False,False,False,False
kormedmcqa_pharm,acc,0.0249,False,False,False,False
kormedmcqa_pharm,f1(macro),0.0328,False,False,False,False
