data,metric,score,option_finetuning,option_BitsAndBytes,option_CoT,option_LoRA(r=32 a=64)
medqa_5_options,acc,0.4407,False,False,False,False
medqa_5_options,f1(macro),0.4327,False,False,False,False
medqa_4_options,acc,0.4949,False,False,False,False
medqa_4_options,f1(macro),0.4881,False,False,False,False
kormedmcqa_dentist,acc,0.2972,False,False,False,False
kormedmcqa_dentist,f1(macro),0.2734,False,False,False,False
kormedmcqa_doctor,acc,0.2736,False,False,False,False
kormedmcqa_doctor,f1(macro),0.2165,False,False,False,False
kormedmcqa_nurse,acc,0.3872,False,False,False,False
kormedmcqa_nurse,f1(macro),0.3743,False,False,False,False
kormedmcqa_pharm,acc,0.3684,False,False,False,False
kormedmcqa_pharm,f1(macro),0.3619,False,False,False,False
