data,metric,score,option_finetuning,option_BitsAndBytes,option_CoT,option_LoRA(r=32 a=64)
medqa_5_options,acc,0.2286,False,False,False,False
medqa_5_options,f1(macro),0.2164,False,False,False,False
medqa_4_options,acc,0.2522,False,False,False,False
medqa_4_options,f1(macro),0.1822,False,False,False,False
kormedmcqa_pharm,acc,0.1706,False,False,False,False
kormedmcqa_pharm,f1(macro),0.1483,False,False,False,False
kormedmcqa_nurse,acc,0.1765,False,False,False,False
kormedmcqa_nurse,f1(macro),0.1578,False,False,False,False
kormedmcqa_doctor,acc,0.1701,False,False,False,False
kormedmcqa_doctor,f1(macro),0.134,False,False,False,False
kormedmcqa_dentist,acc,0.1714,False,False,False,False
kormedmcqa_dentist,f1(macro),0.1502,False,False,False,False
