data,metric,score,option_finetuning,option_BitsAndBytes,option_CoT,option_LoRA(r=32 a=64)
medqa_5_options,acc,0.2702,True,True,False,True
medqa_5_options,f1(macro),0.223,True,True,False,True
medqa_4_options,acc,0.3174,True,True,False,True
medqa_4_options,f1(macro),0.2107,True,True,False,True
kormedmcqa_pharm,acc,0.0418,True,True,False,True
kormedmcqa_pharm,f1(macro),0.0553,True,True,False,True
kormedmcqa_nurse,acc,0.0273,True,True,False,True
kormedmcqa_nurse,f1(macro),0.0406,True,True,False,True
kormedmcqa_doctor,acc,0.0322,True,True,False,True
kormedmcqa_doctor,f1(macro),0.0422,True,True,False,True
kormedmcqa_dentist,acc,0.0259,True,True,False,True
kormedmcqa_dentist,f1(macro),0.0332,True,True,False,True
medqa_5_options,acc,0.3527,False,False,False,False
medqa_5_options,f1(macro),0.2908,False,False,False,False
medqa_4_options,acc,0.4203,False,False,False,False
medqa_4_options,f1(macro),0.2796,False,False,False,False
kormedmcqa_pharm,acc,0.1537,False,False,False,False
kormedmcqa_pharm,f1(macro),0.1672,False,False,False,False
kormedmcqa_nurse,acc,0.1116,False,False,False,False
kormedmcqa_nurse,f1(macro),0.1395,False,False,False,False
kormedmcqa_doctor,acc,0.1885,False,False,False,False
kormedmcqa_doctor,f1(macro),0.1929,False,False,False,False
kormedmcqa_dentist,acc,0.0912,False,False,False,False
kormedmcqa_dentist,f1(macro),0.1167,False,False,False,False
medqa_5_options,acc,0.3064,False,True,False,False
medqa_5_options,f1(macro),0.2499,False,True,False,False
medqa_4_options,acc,0.3024,False,True,False,False
medqa_4_options,f1(macro),0.2161,False,True,False,False
kormedmcqa_dentist,acc,0.1702,False,True,False,False
kormedmcqa_dentist,f1(macro),0.1668,False,True,False,False
kormedmcqa_doctor,acc,0.1241,False,True,False,False
kormedmcqa_doctor,f1(macro),0.1302,False,True,False,False
kormedmcqa_nurse,acc,0.2153,010,0,,
kormedmcqa_nurse,f1(macro),0.209,False,True,False,False
kormedmcqa_pharm,acc,0.1887,False,True,False,False
kormedmcqa_pharm,f1(macro),0.1892,False,True,False,False
