data,metric,score,option_finetuning,option_BitsAndBytes,option_CoT,option_LoRA(r=32 a=64)
medqa_5_options,acc,0.3661,False,False,False,False
medqa_5_options,f1(macro),0.2985,False,False,False,False
medqa_4_options,acc,0.4493,False,False,False,False
medqa_4_options,f1(macro),0.3567,False,False,False,False
kormedmcqa_dentist,acc,0.3514,False,False,False,False
kormedmcqa_dentist,f1(macro),0.2891,False,False,False,False
kormedmcqa_doctor,acc,0.3839,False,False,False,False
kormedmcqa_doctor,f1(macro),0.3185,False,False,False,False
kormedmcqa_nurse,acc,0.549,False,False,False,False
kormedmcqa_nurse,f1(macro),0.5495,False,False,False,False
kormedmcqa_pharm,acc,0.4249,False,False,False,False
kormedmcqa_pharm,f1(macro),0.4164,False,False,False,False
