data,metric,score,option_finetuning,option_BitsAndBytes,option_CoT,option_LoRA(r=32 a=64)
medqa_5_options,acc,0.4698,False,True,False,False
medqa_5_options,f1(macro),0.3923,False,True,False,False
medqa_4_options,acc,0.5373,False,True,False,False
medqa_4_options,f1(macro),0.3564,False,True,False,False
kormedmcqa_pharm,acc,0.4768,False,True,False,False
kormedmcqa_pharm,f1(macro),0.3975,False,True,False,False
kormedmcqa_nurse,acc,0.5592,False,True,False,False
kormedmcqa_nurse,f1(macro),0.5585,False,True,False,False
kormedmcqa_doctor,acc,0.4115,False,True,False,False
kormedmcqa_doctor,f1(macro),0.4075,False,True,False,False
kormedmcqa_dentist,acc,0.3761,False,True,False,False
kormedmcqa_dentist,f1(macro),0.3101,False,True,False,False
medqa_5_options,acc,0.4658,False,False,False,False
medqa_5_options,f1(macro),0.3823,False,False,False,False
medqa_4_options,acc,0.5365,False,False,False,False
medqa_4_options,f1(macro),0.4251,False,False,False,False
kormedmcqa_pharm,acc,0.4723,False,False,False,False
kormedmcqa_pharm,f1(macro),0.4713,False,False,False,False
kormedmcqa_nurse,acc,0.5786,False,False,False,False
kormedmcqa_nurse,f1(macro),0.579,False,False,False,False
kormedmcqa_doctor,acc,0.4184,False,False,False,False
kormedmcqa_doctor,f1(macro),0.423,False,False,False,False
kormedmcqa_dentist,acc,0.3884,False,False,False,False
kormedmcqa_dentist,f1(macro),0.3852,False,False,False,False
