,subject,year,period,q_number,question,A,B,C,D,E,answer,cot
0,dentist,2020,1,2,"65세 여자가 혀의 통증으로 내원하였다. 혈액검사 결과 혈색소 수치가 10.5 g/dL이고, 평균적혈구용적(mean corpuscular volume, MCV)이 증가하였다. 진단을 위한 추가적인 검사 항목은?",항핵항체(ANA),류마티스인자(RF),비타민B12(cobalamin),갑상샘자극호르몬(TSH),알칼리인산분해효소(ALP),C,
1,dentist,2020,1,5,"55세 남자가 구취 때문에 내원하였다. 관능검사(organoleptic method)와 이동형 황화합물측정기로 검사한 결과 모두 구취가 감지되었다. 구강검사 결과, 중증 치주질환이 있으며 그 외의 이상 소견은 관찰되지 않았다. 이 환자에게서 구취를 발생시킨 주성분은?",cadaverine,propionic acid,dimethyl sulfide,hydrogen sulfide,methyl mercaptan,E,
2,dentist,2020,1,6,"SGOT(AST), SGPT(ALT), 혈청빌리루빈, 젖산탈수소효소(LDH)가 증가한 소견을 보이는 33세 남자의 치과치료 시 유의할 사항은?",지혈이 잘 안될 수 있으므로 혈액 응고시간을 확인한다.,감염성 심내막염의 위험이 있으므로 예방적 항생제 요법을 실시한다.,기회감염이 나타날 수 있으므로 항진균제나 항바이러스제를 사용한다.,스트레스와 불안을 감소시키기 위해 치료 전에 스테로이드를 투여한다.,"오전 중에 약속하고, 완전히 누운 자세보다는 반 정도 누운 자세나 앉은 자세에서 치료를 시행한다.",A,
3,dentist,2020,1,7,치과치료 시 에피네프린의 사용을 피해야 하는 질환은?,만성기관지염,부신기능부전,쇼그렌증후군,전신홍반루푸스,갑상샘기능항진증,E,
4,dentist,2020,1,8,37세 남자가 자동차 운전 중 후방 추돌 사고로 인해 목이 뒤로 꺾이면서 발생한 양측 턱관절의 통증과 관절음 때문에 내원하였다. 이 환자에게 발생한 손상은?,격투손상(fight injury),역과손상(runover injury),전도손상(overturn injury),편타손상(whiplash injury),대측손상(contrecoup injury),D,
5,dentist,2020,1,9,개인차가 가장 적게 나타나 법치의학적 연령감정 시 유용한 자료가 되는 시기는?,유치 맹출 시기,치관 완성 시기,교두 석회화 시기,영구치 맹출 시기,치근단공 폐쇄 시기,E,
6,dentist,2020,1,10,"하악 좌측 제2대구치 부위에 임플란트 식립 수술을 받은 53세 여자가 좌측 아래 입술 주위의 감각이상 증상이 발생하여 내원하였다. 임플란트를 시술한 치과에 문의한 결과, 시술 당시 파노라마방사선 및 CT 촬영장비가 없어서 구외방사선검사를 하지 못하였지만, 시술 전 감각마비와 같은 부작용이 발생할 수 있음을 충분히 설명한 후 환자로부터 동의서를 받았고, 통상적인 임플란트 시술절차에 따라 시행하였다고 한다. 이 경우 옳은 것은?",환자의 요구에 의한 시술이기 때문에 치과의사는 면책된다.,후유합병증이 발생하면 설명의무나 주의의무 위반이 추정 되어 치과의사가 책임을 지게 된다.,후유합병증에 대한 설명을 하고 동의서를 받았기 때문에 설명의무를 다하였다고 보아 치과의사는 면책된다.,"설명의무를 다하였고, 통상적인 시술절차에 따라 시행하여 과실이 없으므로 주의의무 위반이 되지 않아 치과의사는 면책된다.",설명의무를 다하였고 시술절차에 과실이 없더라도 후유합병증 예방을 위한 정밀검사와 진단이 없었으므로 주의의무 위반이 되어 치과의사는 책임을 지게 된다.,E,
7,dentist,2020,1,13,"최근 하악 전치부에 보철치료를 받은 53세 여자가 혀 앞 부위가 거칠고 화끈거린다는 증상으로 내원하였다. 환자는 혀가 부어 있는 느낌과 떫은 맛이 느껴진다는 증상도 호소하였으나, 식사할 때는 불편감이 없다고 하였다. 구강검사 및 방사선검사 결과 이상 소견이 관찰되지 않았으며, 혈액검사 결과도 정상 이었다. 병력검사상 치과치료 시 스트레스를 많이 받았으며, 불면증이 확인되었다. 국소적으로 적용할 수 있는 약은?",nystatin,acyclovir,clonazepam,prednisolone,hyaluronic acid,C,
8,dentist,2020,1,14,"35세 여자가 우측 측두 부위의 두통과 눈 주위의 통증으로 내원하였다. 최근 잦은 야근으로 수면이 부족하고 스트레스를 받은 후 머리가 쿵쿵 울리는 듯한 두통이 발생하였고, 두통이 발생하면 메스꺼움과 구토 증상이 동반되며, 밝은 곳이나 시끄러운 곳에 가면 두통이 더 심해진다고 하였다. 진단은?",편두통,군발두통,긴장형두통,돌발반두통,거대세포동맥염,A,
9,dentist,2020,1,15,"54세 남자가 코골이 때문에 내원하였다. 잠을 자도 아침에 개운하지 않고 운전 중 졸다가 사고가 날 뻔한 적도 있었다고 한다. 검사 결과 무호흡-저호흡지수(AHI, apnea-hypopnea index)가 25이고, Epworth sleepiness scale(ESS)이 13이었다. 턱관절이나 치주검사 시 이상 소견은 없었으나, 병력검사상 폐소공포증(claustrophobia)이 있다고 하였다. 우선 고려해야 할 치료는?",혀유지장치,연구개거상장치,하악전방위치장치,지속상기도양압기,구개수인두성형술,C,
