,subject,year,period,q_number,question,A,B,C,D,E,answer,cot
0,doctor,2012,1,1,항문압 측정 검사에서 항문 압력이 증가하는 경우는?,직장질루(rectovaginal fistula),항문열창(anal fissure),대변실금(fecal incontinence),대변메막힘(fecal impaction),직장탈출증(rectal prolapse),B,
1,doctor,2012,1,2,복부대동맥(abdominal aorta) 에서 처음 분지(first branch) 되는 동맥은?,고유간동맥(hepatic artery proper),돌잘록창자동맥(ileocolic artery),아래창자간막동맥(inferior mesenteric artery),오른쪽 잘록창자동맥(right colic artery),구불창자동맥(sigmoid artery),C,
2,doctor,2012,1,3,"58세 남자가 대량 장절제 후 짧은창자증후군(short bowel syndrome) 으로 4개월 간 완전비경구
영양요법을 받고 있는 중이다. 채혈 후 피가 잘 멎지 않았다. 혈액검사 결과는 다음과 같다.
결핍이 의심되는 것은?
혈색소 13.5 g/dL, 백혈구 4,500/mm^3, 혈소판 220,000/mm^3 
알부민 3.7 g/dL, 총 빌리루빈 1.0 mg/dL,  알칼리 인산분해효소(ALP) 90 U/L,
아스파르테이트 아미노전달효소(AST) 22 U/L, 알라닌 아미노전달효소(ALT) 16 U/L,
프로트롬빈시간 30.5초 (참고치, 12.7~15.4),
활성화부분트롬보플라스틴시간 34.5초 (참고치, 26.3~39.4) ",철,트롬빈,제5인자(factor V),비타민 K,섬유소원(fibrinogen),D,
3,doctor,2012,1,4,"1세 남아가 건강검진을 위해 병원에 왔다. 출생력은 정상이었다. 신체검사 결과는 다음과 같다.
상담이 필요한 이상 소견은?
키 75.0 cm, 체중 7.0 kg, 머리둘레 46.0 cm, 맥박 100회/분, 호흡 28회/분",키,체중,머리둘레,맥박,호흡,B,
4,doctor,2012,1,5,"42세 여자가 3개월 전부터 월경이 없어 병원에 왔다. 2개월 전부터 얼굴에 열이 나고 불면증이
있었다. 2년 전 양쪽 난소기형종으로 양쪽 난소절제술을 받았다. 혈액검사 결과는 다음과 같다.
치료는?
난포자극호르몬 45 IU/L (참고치, 5~20) 
에스트라디올 <10 pg/mL (참고치, 10~200) ",다나졸,에스트로겐,프로게스테론,황체형성호르몬,에스트로겐- 프로게스테론,E,
5,doctor,2012,1,6,"식사행동, 성기능, 감정, 수면, 생체리듬, 면역기능 등을 주관하는 뇌 부위는?",다리뇌(pons),편도(amygdala),소뇌(cerebellum),해마(hippocampus),시상하부(hypothalamus),E,
6,doctor,2012,1,7,"24개월 남아가 건강검진을 받기 위하여 병원에 왔다. 출생체중은 3.1 kg으로 정상분만으로 태어났다.
특별히 앓거나 다친 병력은 없다. 머리둘레 48.8 cm (50~75백분위수) 이었고, 잘 뛰어다니며 연필을
쥐어주면 직선을 그렸다. 숟가락질을 하고 빨간색을 알았다. 말은 ‘엄마’, ‘아빠’ 정도 가능하였다.
진단은?",언어지연,조대운동지연,미세운동지연,인지적응지연,개인사회성지연,A,
7,doctor,2012,1,8,정상 소아에서 키가 출생 시에 비해서 2배가 되는 나이는?,6개월,1세,2세,4세,8세,D,
8,doctor,2012,1,9,"47세 은행간부가 자신의 전 재산은 물론, 친구와 가족들의 돈을 빌려 주식에 투자하였다.
세계금융위기로 주가가 폭락하자 파산하게 되었으며, 자신의 처지를 비관하여 자살을 하였다.
에밀 뒤르켕(Emile Durkheim) 의 어떤 사회적 범주의 자살에 해당하는가?",공격형,이기형,이타형,조정형,아노미형,E,
9,doctor,2012,1,10,"47세 남자가 입에서 피가 나와 병원에 왔다. 전날 과음 후 몇 차례 토하고 잠이 들었다. 당일
아침 양치질 도중 기침을 하면서 선홍색 피를 10 mL 뱉었다. 피에는 거품이 섞여 있었다. 3년 전
폐결핵으로 치료받았다. 오른쪽 윗가슴에서 거품소리가 들렸다. 객혈이라고 판단할 가장 중요한
근거는?",거품소리,선홍색 피,폐결핵 치료력,거품이 섞인 피,기침을 하면서 배출,E,
10,doctor,2012,1,11,배꼽주위에 위치가 불명확한 복통을 초래할 수 있는 경우는?,급성쓸개염,급성이자염,작은창자폐쇄,요관돌,구불창자폐쇄,C,
11,doctor,2012,1,12,"48세 남자가 1주일 동안 검은색 대변이 나와 병원에 왔다. 혈압 125/75 mmHg, 맥박 75회/분,
호흡 16회/분이었다. 대변 잠혈반응이 양성이어서 시행한 직장 손가락검사에서는 이상이 없었다.
혈액검사 결과는 다음과 같다. 적합한 검사는?
혈색소 9.2 g/dL, 백혈구 7,800/mm^3, 혈소판 240,000/mm^3 ",위내시경,대장내시경,캡슐내시경,복부컴퓨터단층촬영,표지자 적혈구 스캔(tagged RBC scan),A,
12,doctor,2012,1,13,"팔로네증후로 심장 수술을 받았던 8세 남아가 10일 동안 열이 나서 병원에 왔다. 2주 전에
이를 뽑았다. 새로운 수축기 심잡음이 복장뼈 왼쪽 아래 가장자리에서 들렸고 지라가 만져졌다.
소변검사에서 현미경적혈뇨가 있었다. 진단은?",심내막염,류마티스열,가와사키병,감염단핵구증,아이젠멩거증후군,A,
13,doctor,2012,1,14,"12세 여아가 급성림프모구백혈병으로 진단받고, 항암화학요법 2일 째 소변양이 현저히
감소하였다. 혈액검사결과는 다음과 같다. 조치는?
혈색소 8.5 g/dL, 백혈구 185,000/mm^3, 혈소판 78,000/mm^3, 그물적혈구 0.8%,
칼슘 6.9 mg/dL (참고치, 8.8~10.8), 인 8.2 mg/dL (참고치, 3.8~6.5),
요산 15 mg/dL (참고치, <7), 나트륨 132 meq/L, 칼륨 6.1 meq/L, 염소 103 meq/L,
혈액요소질소 58 mg/dL,  크레아티닌 2.4 mg/dL,  젖산탈수소효소(LDH) 1,800 U/L",혈액투석,칼슘 투여,적혈구 수혈,혈소판 수혈,항암화학요법 중단,A,
14,doctor,2012,1,15,"33세 여자가 자궁목 조직생검에서 자궁목 상피내암종으로 진단받았다. 상피내암종 발생의 가장
중요한 원인은?",흡연,경구피임약,조기 성경험,생식기 헤르페스감염,사람유두종바이러스 감염,E,
15,doctor,2012,1,16,"18세 여자가 초경이 없어서 병원에 왔다. 항문을 통한 초음파검사에서 자궁은 있었으나 크기가
작았다. 혈액검사 및 영상검사 결과는 다음과 같았다. 처치는?
갑상샘자극호르몬 2.8 mIU/L (참고치, 0.34~4.25) 
프로락틴 12.3 ng/mL (참고치, <25) 
난포자극호르몬 2.0 IU/L (참고치, 5~20) 
황체형성호르몬 1.0 IU/L (참고치, 5~20) 
에스트라디올 <10 pg/mL (참고치, 10~200) 
안장자기공명영상 : 정상",클로미펜,프로게스테론,난포자극호르몬,방향화효소(aromatase) 억제제,에스트로겐- 프로게스테론,E,
16,doctor,2012,1,17,"산과력 0-0-1-0인 32세 여자가 3일 전부터 소량의 질출혈이 있어 병원에 왔다. 월경주기는
30일로 규칙적이었으며 마지막 월경시작일은 5주 전이었다. 소변 임신반응검사는 양성이었으며
골반 초음파검사에서 자궁 및 자궁부속기에 태아주머니는 관찰되지 않았다. 혈청 베타사람융모
생식샘자극호르몬은 다음과 같다. 적합한 조치는?
첫 방문일 200 mIU/mL (참고치, <5) 
첫 방문 2일 후 50 mIU/mL",경과관찰,복강경검사,자궁경검사,메토트렉세이트 투여,혈청 프로게스테론 측정,A,
17,doctor,2012,1,18,"45세 여자가 1주일 전부터 줄넘기를 하면 소변이 샌다고 병원에 왔다. 소변이 자주 마려우며
가끔 배뇨 끝에 찌릿찌릿한 통증이 있었다. 골반검사에서 자궁 및 방광탈출은 없었다. 검사는?",소변검사,방광경검사,방광조영술,정맥깔때기조영술,복부컴퓨터단층촬영,A,
18,doctor,2012,1,19,"64세 여자가 잠들기 어려워서 병원에 왔다. 불면증은 3년 전부터 다리의 불편감과 함께
시작되었다. 다리 증상은 저녁이 되면 시작되고, 움직이면 나아지지만 가만히 있으면 심해진다고
하였다. 적합한 약제는?",리튬,레보도파,이미프라민,플루옥세틴,할로페리돌,B,
19,doctor,2012,1,20,"20세 여자가 1주일 전 남자친구와 결별한 후 목소리가 안 나온다고 하였다. 그녀는 자신의 증상을
호소하면서도 걱정하는 모습은 없었다. 이런 반응을 무엇이라고 하는가?",무감동(apathy),회피(avoidance),정동둔마(flat affect),감정표현불능증(alexithymia),만족스러운 무관심(la belle indifference),E,
20,doctor,2012,1,21,"11세 남아가 건강검진 중 간기능이상이 발견되어 병원에 왔다. 최근 감염의 병력은 없었고
간질환의 과거력도 없었다. 17세 형이 2년 전부터 손을 떨고 발음이 부정확하며, 보행 장애를
보였다. 신체비만지수(body mass index) 는 정상이었다. 혈액검사 결과는 다음과 같다. 진단은?
아스파르테이트 아미노전달효소 87 U/L, 알라닌 아미노전달효소 112 U/L,
anti-HBs (+), anti-HCV(-),
포도당 98 mg/dL,  암모니아 50 μg/dL (참고치, 10~80),
크레아틴키나아제 110 U/L (참고치, 40~300),
세룰로플라스민 9 mg/dL (참고치, 20~46) ",윌슨병,갈락토오스혈증,글리코겐축적병,진행근육디스트로피,보통염색체 우성 뭇주머니콩팥병(ADPKD),A,
21,doctor,2012,1,22,"48세 남자가 2개월 전부터 배가 불러 병원에 왔다. 숨이 차지도 가슴이 아프지도 않았다. 혈압
120/70 mmHg, 맥박 76회/분, 호흡 18회/분, 체온 36.5℃이었다. 심음은 정상이었고 폐에서
거품소리는 들리지 않았으나, 복부는 팽만 되어 있었다. 혈액 및 복수 검사결과는 다음과 같다.
복수 생성에 가장 중요한 물질은?
혈액 : 혈색소 10.5 g/dL, 백혈구 4,800/mm^3, 혈소판 70,000/mm^3,
아스파르테이트 아미노전달효소(AST) 84 U/L, 알라닌 아미노전달효소(ALT) 96 U/L,
총 빌리루빈 1.3 mg/dL,  감마글루타밀전달효소 90 U/L, 알부민 2.8 g/dL,
혈액요소질소 14 mg/dL,  크레아티닌 1.0 mg/dL, 
복수 : 백혈구 10/mm^3, 알부민 1.0 g/dL",엔도텔린(endothelin),알도스테론(aldosterone),아르지닌 바소프레신(arginine vasopressin),심방나트륨이뇨펩티드(atrial natriuretic peptide),뇌나트륨이뇨펩티드(brain natriuretic peptide),B,
22,doctor,2012,1,23,정상 12개월 영아의 신경학적 검사에서 볼 수 있는 반사는?,긴장목(tonic neck),란다우(Landau),모로(Moro),보행(stepping),움켜잡기(grasping),B,
23,doctor,2012,1,24,"만삭아로 태어난 생후 10주 남아가 얼굴이 약간 창백해 보여 병원에 왔다. 모유수유 중이며
수유량은 줄지 않았다. 건강상태는 정상이었다. 혈액검사 결과는 다음과 같다. 빈혈의 원인은?
혈색소 9.8 g/dL, 적혈구용적률 31%, 백혈구 9,800/mm^3, 혈소판 248,000/mm^3,
평균적혈구용적 84 fl (참고치, 80~100) ",용혈,엽산 결핍,철분 결핍,비타민 B12 결핍,적혈구형성인자 생성 감소,E,
