,subject,year,period,q_number,question,A,B,C,D,E,answer,cot
0,nurse,2019,1,1,항원에 대한 IgE 항체가 생성된 후 히스타민과 같은 매개물을 분비하여 발생하는 과민반응은?,천식,접촉피부염,전신홍반루푸스,장기이식 거부반응,ABO 부적합 수혈반응,A,
1,nurse,2019,1,2,알레르기 치료로 탈감작요법을 실시하기 전에 환자에게 교육할 내용은?,알레르기원을 정맥으로 주입,치료 기간은 6개월 정도 소요,여러 종류의 알레르기원을 한 번에 투여,치료 시작부터 월 1회 알레르기원을 투여,소량의 알레르기원으로 시작한 후 용량을 점차 증가,E,
2,nurse,2019,1,3,림프종 환자에게 과립구집락자극인자(G-CSF) 인 뉴포젠(neupogen) 을 투여하는 목적은?,호중구 증가,고체온 조절,종양세포 사멸,뼈의 통증 완화,구역과 구토 완화,A,
3,nurse,2019,1,4,"개복술을 마치고 입원실에 온 환자가 의식이 저하되면서, 맥박 110회/분, 혈압 90/60 mmHg 일 때 우선적으로 확인해야 할 것은?",통증,체온,백혈구 수,혈청 알부민,수술 부위 배액관,E,
4,nurse,2019,1,5,"응급실에 내원한 환자의 다음 사정결과로 예상되는 것은?• 땅콩을 섭취한 후부터 갑자기 숨 쉬기가 어려워짐• 쉰 목소리, 두드러기, 입과 눈 주위 부종, 청색증, 천명음• 혈압 90/50 mmHg ",심장성쇼크,지연형 과민반응,아나필락시스쇼크,세포독성 과민반응,면역복합체 과민반응,C,
5,nurse,2019,1,6,응급환자중증도분류에 근거한 치료의 최우선 순위는?,대퇴골 폐쇄골절,38.0℃의 발열을 동반한 장염,기침을 동반한 만성폐쇄폐질환,심한 흉통을 동반한 심근경색증,소량의 출혈이 있는 손가락 부분절단,D,
6,nurse,2019,1,7,눈에 화학물질이 들어갔을 때 즉각적인 중재는?,안대를 대어준다.,눈을 감고 안정시킨다.,흐르는 물로 씻어낸다.,스테로이드 점안제를 점적한다.,눈을 깜박여 눈물이 흐르도록 한다.,C,
7,nurse,2019,1,8,"동맥혈가스분석 결과가 다음과 같은 환자에게 보상으로 나타날 수 있는 것은?pH 7.3, PaO2 98 mmHg, PaCO2 44 mmHg, HCO3- 19 mEq/L ",다뇨,피부발적,과다환기,체온 상승,혈압 상승,C,
8,nurse,2019,1,9,"담낭절제술 후 유동식 섭취 중인 환자의 사정결과가 다음과 같을 때 우선적인 중재는?• 복통, 항구토제 투여 후에도 지속되는 구토• 장음 감소, 복부팽만• Na + 140 mEq/L, K+ 3.8 mEq/L ",복식호흡 유도,심전도 모니터링,비위관 삽입 준비,수술 절개부위 확인,처방된 마약성 진통제 투여,C,
9,nurse,2019,1,10,"갑자기 심한 어지럼, 이명, 난청, 구역과 구토가 있는 메니에르병 환자에 대한 간호중재는?",텔레비전을 틀어준다.,큰 목소리로 대화한다.,방안의 조명을 밝게 한다.,따뜻한 커피를 마시게 한다.,머리를 천천히 움직이도록 한다.,E,
10,nurse,2019,1,11,좌측 변형근치유방절제술을 받은 환자에 대한 퇴원교육 내용은?,소매가 조이는 옷 착용,수면 시 엎드린 자세 유지,좌측 어깨의 외전운동 제한,일상생활 시 좌측 팔 사용 제한,좌측 팔의 위치를 심장 높이보다 높게 유지,E,
11,nurse,2019,1,12,연하곤란과 흉골하 통증이 있는 환자가 칼슘통로차단제의 투여 목적에 대해 질문할 때 옳은 설명은?,“위산을 중화시킵니다.”,“위산분비를 억제합니다.”,“담즙분비를 도와줍니다.”,“식도 점막을 보호합니다.”,“식도괄약근을 이완시킵니다.”,E,
12,nurse,2019,1,13,십이지장궤양 환자에게 위산분비를 감소시키기 위해 투여하는 약물은?,아목시실린,오메프라졸,칼슘탄산염,메트로니다졸,클로르프로마진,B,
13,nurse,2019,1,14,장게실염 환자의 재발 예방을 위한 퇴원교육 내용은?,수분섭취 제한,육류 섭취 권장,일상생활활동 제한,저섬유질식사 섭취,무거운 물건 들지 않기,E,
14,nurse,2019,1,15,역류식도염 환자의 증상을 감소시키기 위한 교육 내용은?,고지방식사를 섭취한다.,수면 시 앙와위를 취한다.,넉넉하고 편안한 옷을 입는다.,취침 전 따뜻한 우유를 섭취한다.,식사 후 곧바로 누워서 안정을 취한다.,C,
15,nurse,2019,1,16,"부분위절제술을 받은 환자가 식후 2~3시간 후에 어지럼, 발한, 손떨림 증상이 있을 때 제공해야 할 식사는?",저푸린식사,저지방식사,저단백식사,저칼륨식사,저탄수화물식사,E,
16,nurse,2019,1,17,급성췌장염 환자에게 나타나는 특징적인 혈액검사 결과는?,혈당 감소,리파제 감소,중성지방 감소,아밀라아제 증가,헤모글로빈 증가,D,
17,nurse,2019,1,18,식욕부진과 황달로 입원한 환자가 IgM anti-HAV 양성일 때 간호중재는?,멸균 가운을 입힌다.,입었던 환의는 소각한다.,N95 마스크를 착용시킨다.,1인 음압병실에 격리시킨다.,개인용 수건을 사용하게 한다.,E,
18,nurse,2019,1,19,"다음 환자의 사정결과에 근거한 우선적인 간호진단은?• 복수, 하지부종, 호흡곤란, 황달• 검사결과: AST/ALT 80/45 U/L, 총빌리루빈 6.7 mg/dL, 암모니아 23 μg/dL, 프로트롬빈시간 25초• 과거력: 20년간 매일 소주 2병 이상을 마셨음",황달과 관련된 신체상장애,간기능저하와 관련된 체액과다,호흡곤란과 관련된 자가간호부족,부적절한 섭취와 관련된 영양부족,간기능저하와 관련된 사고과정의 변화,B,
19,nurse,2019,1,20,"퍼덕떨림(flapping tremor), 수면장애와 인지저하가 있는 간경화증 환자의 혈청 암모니아가 정상치보다 높을 때 중재는?",진정제 투여,항경련제 투여,저칼륨식사 제공,고단백식사 제공,락툴로오스 관장 실시,E,
