,subject,year,period,q_number,question,A,B,C,D,E,answer,cot
0,pharm,2019,1,2,"골격근이 수축할 때, 근소포체에서 유리된 Ca2 +이 결합하는 것은?",actin,troponin C,troponin I,troponin T,tropomyosin,B,
1,pharm,2019,1,3,"기질과 구조가 유사하며, 효소의 활성부위에 가역적으로 결합하는 저해제가 효소촉매반응에 미치는 영향은?",K m 감소,K m 증가,V max 감소,V max 증가,K m과 V max에 미치는 영향 없음,B,
2,pharm,2019,1,4,가수분해에 의한 표준 자유에너지(standard free-energy) 변화가 ATP보다 큰 인산 화합물(phosphate compound) 은?,phosphoenolpyruvate,glycerol- 3- phosphate,glucose- 1- phosphate,glucose- 6- phosphate,fructose- 6- phosphate,A,
3,pharm,2019,1,5,시트르산 회로에서 NADH를 생성하는 비가역반응을 촉매하는 효소는?,aconitase,citrate synthase,malate dehydrogenase,isocitrate dehydrogenase,succinate dehydrogenase,D,
4,pharm,2019,1,6,"Glycolysis 촉매 효소인 phosphofructokinase-1은 활성화하고, gluconeogenesis 촉매 효소인 fructose-1,6-bisphosphatase-1은 억제하는 것은?",AMP,ATP,citrate,"2,3- bisphosphoglycerate","fructose- 1,6- bisphosphate",A,
5,pharm,2019,1,7,DNA의 hormone response element(HRE) 에 결합할 수 있는 수용체는?,인슐린 수용체,글루카곤 수용체,옥시토신 수용체,바소프레신 수용체,에스트로겐 수용체,E,
6,pharm,2019,1,8,전자전달계를 통한 전자이동을 억제하지 않으면서 양성자 기울기(proton gradient) 형성을 방해하는 것은?,amytal,rotenone,antimycin A,carbon monoxide,"2,4- dinitrophenol",E,
7,pharm,2019,1,9,사람 세포에서 acetyl-CoA carboxylase를 활성화하여 지방산 생합성을 촉진하는 것은?,citrate,glucagon,epinephrine,palmitoyl- CoA,propionyl- CoA,A,
8,pharm,2019,1,10,Ribonucleotide reductase가 촉매하는 반응은?,IMP → XMP,UTP → CTP,AMP → dAMP,ADP → dADP,ATP → dATP,D,
9,pharm,2019,1,11,"대장균이 DNA를 복제할 때 ‘뒤처지는 가닥(lagging strand) ’합성의 마지막 단계에서, 남아있는 틈(nick) 을 채워 DNA 조각을 연결하는 효소는?",helicase,primase,DNA ligase,DNA polymerase II,DNA polymerase III,C,
10,pharm,2019,1,12,색소성건피증(xeroderma pigmentosum) 의 주된 원인은?,RNA 가공(processing) 과정의 결함,단백질 표적화(targeting) 과정의 결함,단백질 분해(degradation) 과정의 결함,손상받은 DNA의 mismatch repair 과정의 결함,손상받은 DNA의 nucleotide- excision repair 과정의 결함,E,
11,pharm,2019,1,13,진핵세포에서 mRNA 합성에 관여하는 것은?,telomerase,RNA polymerase I,RNA polymerase II,RNA polymerase III,reverse transcriptase,C,
12,pharm,2019,1,14,Eukaryotic elongation factor2(eEF2) 에 ADP-ribosylation을 일으켜 단백질 합성을 억제하는 물질은?,puromycin,tetracycline,actinomycin D,cycloheximide,diphtheria toxin,E,
13,pharm,2019,1,15,"작은 간섭 RNA(small interfering RNA, siRNA) 가 직접 결합하여 분해를 촉진하는 것은?",DNA,mRNA,rRNA,tRNA,단백질,B,
