data,metric,score,option_finetuning,option_BitsAndBytes,option_CoT,option_LoRA(r=32 a=64)
medqa_5_options,acc,0.1815,False,False,False,False
medqa_5_options,f1(macro),0.1631,False,False,False,False
medqa_4_options,acc,0.227,False,False,False,False
medqa_4_options,f1(macro),0.1591,False,False,False,False
kormedmcqa_dentist,acc,0.1689,False,False,False,False
kormedmcqa_dentist,f1(macro),0.1671,False,False,False,False
kormedmcqa_doctor,acc,0.1954,False,False,False,False
kormedmcqa_doctor,f1(macro),0.1783,False,False,False,False
kormedmcqa_nurse,acc,0.2528,False,False,False,False
kormedmcqa_nurse,f1(macro),0.2341,False,False,False,False
kormedmcqa_pharm,acc,0.2045,False,False,False,False
kormedmcqa_pharm,f1(macro),0.1941,False,False,False,False
