data,metric,score,option_finetuning,option_BitsAndBytes,option_CoT,option_LoRA(r=32 a=64)
medqa_5_options,acc,0.4713,0,1,0,0
medqa_5_options,f1(macro),0.4553,0,1,0,0
medqa_4_options,acc,0.4595,0,1,0,0
medqa_4_options,f1(macro),0.395,0,1,0,0
kormedmcqa_dentist,acc,0.4131,0,1,0,0
kormedmcqa_dentist,f1(macro),0.3388,0,1,0,0
kormedmcqa_doctor,acc,0.4598,0,1,0,0
kormedmcqa_doctor,f1(macro),0.3831,0,1,0,0
kormedmcqa_nurse,acc,0.6697,0,1,0,0
kormedmcqa_nurse,f1(macro),0.6674,0,1,0,0
kormedmcqa_pharm,acc,0.5977,0,1,0,0
kormedmcqa_pharm,f1(macro),0.4977,0,1,0,0
