data_metric,baseline(no finetuning/no quantization),baseline(full finetuning/no quantization),baseline(no finetuning/quantization),baseline(full finetuning/quantization),lora(r=32/a=64),qlora(r=32/a=64).1
medqa_5option_acc,0.2341,,0.2419,,
medqa_5option_f1(macro),0.159,,0.1628,,
medqa_4option_acc,0.2969,,0.2891,,
medqa_4option_f1(macro),0.1774,,0.1739,,
kormedmcqa_dentist_acc,0.2293,,0.233,,
kormedmcqa_dentist_f1(macro),0.1766,,0.1752,,
kormedmcqa_doctor_acc,0.2046,,0.1977,,
kormedmcqa_doctor_f1(macro),0.1534,,0.1458,,
kormedmcqa_nurse_acc,0.303,,0.3098,,
kormedmcqa_nurse_f1(macro),0.2441,,0.2503,,
kormedmcqa_pharm_acc,0.2497,,0.2452,,
kormedmcqa_pharm_f1(macro),0.1916,,0.1912,,
