Model,Doctor,Nurse,Pharm,Dentist,MedQA,Parameters,Tag
Human,0.7966,0.799,0.7186,0.7823,0.6000,,Proprietary Models
o1-preview-2024-09-12,0.9241,0.951,0.9424,0.8866,0.9419,300,Proprietary Models
o1-mini-2024-09-12,0.8828,0.8588,0.8768,0.6991,0.9018,100,Proprietary Models
gpt-4o-2024-08-06,0.8598,0.9146,0.8599,0.7867,0.8696,200,Proprietary Models
gpt-4o-mini-2024-07-18,0.6322,0.8314,0.713,0.5906,0.7290,8,Proprietary Models
gpt-4-turbo-2024-04-09,0.7632,0.8667,0.8102,0.6671,0.7643,1760,Proprietary Models
gpt-4-0125-preview,0.7517,0.869,0.8192,0.6646,0.7824,1760,Proprietary Models
gpt-3.5-turbo-0125,0.3126,0.5285,0.4655,0.3206,0.7855,175,Proprietary Models
claude-3.5-sonnet-2024-10-22,0.8805,0.9214,0.9141,0.7423,0.8295,400,Proprietary Models
claude-3.5-haiku-2024-10-22,0.6966,0.8189,0.5842,0.6227,0.6921,20,Proprietary Models
claude-3-opus-2024-02-29,0.7425,0.8724,0.7435,0.693,0.7612,2000,Proprietary Models
claude-3-sonnet-2024-02-29,0.6690,0.7813,0.6373,0.4325,0.6591,70,Proprietary Models
gemini-1.5-pro,0.7931,0.8827,0.8034,0.7028,0.7667,1300,Proprietary Models
gemini-1.5-flash,0.6851,0.8246,0.7492,0.5968,0.6709,32,Proprietary Models
Llama-3.1-70B,0.7218,0.8223,0.7774,0.6313,0.7942,70.6,Open Model
Llama-3.1-8B,0.4069,0.5957,0.5525,0.4205,0.6332,8.03,Open Model
Llama-3-70B,0.6667,0.8121,0.739,0.3601,0.7588,70.6,Open Model
Llama-3-8B,0.3816,0.5592,0.4814,0.4168,0.6237,8.03,Open Model
Llama-2-70B,0.2851,0.4567,0.3808,0.3169,0.5075,69,Open Model
Llama-2-13B,0.2736,0.3667,0.3141,0.3083,0.4281,13,Open Model
Llama-2-7B,0.2161,0.2745,0.2542,0.2577,0.3881,6.74,Open Model
Qwen2.5-72B,0.7724,0.8747,0.8271,0.6621,0.7793,72.7,Open Model
Qwen2.5-7B,0.5149,0.2733,0.6339,0.3958,0.6119,7.62,Open Model
Qwen2.5-1.5B,0.3333,0.4772,0.3548,0.3243,0.4556,1.54,Open Model
Qwen2-72B,0.7471,0.869,0.8203,0.6868,0.7541,72.7,Open Model
Qwen2-7B,0.4621,0.6686,0.5785,0.4427,0.553,7.62,Open Model
Qwen2-1.5B,0.2897,0.4465,0.3254,0.2787,0.3967,1.54,Open Model
Mistral-Large-2411,0.7126,0.8246,0.7864,0.6289,0.7981,123,Open Model
Mistral-Large-2407,0.7149,0.8383,0.8045,0.6289,0.7965,123,Open Model
Mistral-Nemo-2407,0.423,0.6583,0.5831,0.4303,0.6088,12.2,Open Model
Mixtral-8x22B,0.4828,0.6936,0.6644,0.4784,0.6991,141,Open Model
Mixtral-8x7B,0.3655,0.5695,0.548,0.3884,0.6119,46.7,Open Model
Mistral-7B,0.2966,0.4237,0.4113,0.312,0.5137,7.25,Open Model
gemma-2-27B,0.623,0.7836,0.722,0.5857,0.6779,27.2,Open Model
gemma-2-9B,0.2069,0.6173,0.4395,0.4242,0.6253,9.24,Open Model
gemma-2-2B,0.1333,0.3941,0.278,0.2811,0.4218,2.61,Open Model
gemma-7B,0.2889,0.418,0.3435,0.2996,0.3967,8.54,Open Model
gemma-1.1-2B,0.223,0.2517,0.226,0.2232,0.2899,2.51,Open Model
